"No.","Time","Source","Destination","Protocol","Length","Info"
"138","6.559045","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [PSH, ACK] Seq=46097 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"139","6.559045","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [ACK] Seq=46633 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"140","6.559045","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [PSH, ACK] Seq=47169 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"141","6.559045","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [ACK] Seq=47705 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"142","6.559045","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [PSH, ACK] Seq=48241 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"143","6.559045","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [ACK] Seq=48777 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"144","6.559045","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [PSH, ACK] Seq=49313 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"145","6.559045","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [ACK] Seq=49849 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"146","6.559045","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [PSH, ACK] Seq=50385 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"147","6.559045","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [ACK] Seq=50921 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"148","6.559045","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [PSH, ACK] Seq=51457 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"149","6.559045","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [ACK] Seq=51993 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
