"No.","Time","Source","Destination","Protocol","Length","Info"
"1125","2.336200","92.223.116.253","10.216.143.252","TCP","1514","80  >  57205 [ACK] Seq=795981 Ack=439 Win=122 Len=1448 TSval=3140221545 TSecr=83368419 [TCP PDU reassembled in 2977]"
"1126","2.336200","92.223.116.253","10.216.143.252","TCP","1514","80  >  57205 [ACK] Seq=797429 Ack=439 Win=122 Len=1448 TSval=3140221545 TSecr=83368419 [TCP PDU reassembled in 2977]"
"1127","2.336200","92.223.116.253","10.216.143.252","TCP","1514","80  >  57205 [ACK] Seq=798877 Ack=439 Win=122 Len=1448 TSval=3140221545 TSecr=83368419 [TCP PDU reassembled in 2977]"
"1128","2.336235","10.216.143.252","92.223.116.253","TCP","66","57205  >  80 [ACK] Seq=439 Ack=800325 Win=538 Len=0 TSval=83368436 TSecr=3140221538"
"1129","2.348241","92.223.116.253","10.216.143.252","TCP","1514","80  >  57205 [ACK] Seq=800325 Ack=439 Win=122 Len=1448 TSval=3140221566 TSecr=83368436 [TCP PDU reassembled in 2977]"
"1130","2.348241","92.223.116.253","10.216.143.252","TCP","1514","80  >  57205 [ACK] Seq=801773 Ack=439 Win=122 Len=1448 TSval=3140221566 TSecr=83368436 [TCP PDU reassembled in 2977]"
"1131","2.348241","92.223.116.253","10.216.143.252","TCP","1514","80  >  57205 [ACK] Seq=803221 Ack=439 Win=122 Len=1448 TSval=3140221566 TSecr=83368436 [TCP PDU reassembled in 2977]"
"1132","2.348270","10.216.143.252","92.223.116.253","TCP","66","57205  >  80 [ACK] Seq=439 Ack=804669 Win=538 Len=0 TSval=83368448 TSecr=3140221566"
"1133","2.348827","92.223.116.253","10.216.143.252","TCP","1514","80  >  57205 [ACK] Seq=804669 Ack=439 Win=122 Len=1448 TSval=3140221566 TSecr=83368436 [TCP PDU reassembled in 2977]"
"1134","2.349507","92.223.116.253","10.216.143.252","TCP","1514","80  >  57205 [ACK] Seq=806117 Ack=439 Win=122 Len=1448 TSval=3140221566 TSecr=83368436 [TCP PDU reassembled in 2977]"
"1135","2.349520","10.216.143.252","92.223.116.253","TCP","66","57205  >  80 [ACK] Seq=439 Ack=807565 Win=538 Len=0 TSval=83368449 TSecr=3140221566"
